source,title,summary,url,published_at,tickers,timestamp
https://www.coindesk.com/arc/outboundfeeds/rss/,"Revolut Hits $75B Valuation in Fundraise Backed by Coatue, NVIDIA, Fidelity ","Revolut is growing its crypto offerings, including a recent partnership with Polygon Labs and a MiCA license to offer crypto services across Europe.",https://www.coindesk.com/business/2025/11/24/revolut-hits-usd75b-valuation-in-fundraise-backed-by-coatue-nvidia-fidelity,"Mon, 24 Nov 2025 11:42:02 +0000",,2025-11-24T12:06:10.651415
https://www.coindesk.com/arc/outboundfeeds/rss/,"Crypto Markets Today: Fear Dominates as Altcoins Lag, Bitcoin Tests Key Levels","Bitcoin’s struggle to reclaim the $90,000 range leaves the broader crypto market vulnerable, with altcoins suffering sharp liquidity-driven underperformance.",https://www.coindesk.com/markets/2025/11/24/crypto-markets-today-fear-dominates-as-altcoins-lag-bitcoin-tests-key-levels,"Mon, 24 Nov 2025 11:30:00 +0000",,2025-11-24T12:06:10.651494
https://www.coindesk.com/arc/outboundfeeds/rss/,Bitcoin Longs on Bitfinex Jump 40% in Three Months as Traders Double Down on Dip,Rising margin bitcoin longs show confidence despite bitcoins ongoing correction.,https://www.coindesk.com/markets/2025/11/24/bitcoin-longs-on-bitfinex-jump-40-in-three-months-as-traders-double-down-on-dip,"Mon, 24 Nov 2025 11:21:08 +0000",,2025-11-24T12:06:10.651561
https://www.coindesk.com/arc/outboundfeeds/rss/,ECB Doubles Down on Warning That Stablecoins Could Pose Global Financial Risks,The EU’s central bank says stablecoins draw value from eurozone banks and could pose a risk to global financial stability.,https://www.coindesk.com/policy/2025/11/24/ecb-doubles-down-on-warning-that-stablecoins-could-pose-global-financial-risks,"Mon, 24 Nov 2025 11:19:51 +0000",,2025-11-24T12:06:10.651657
https://www.coindesk.com/arc/outboundfeeds/rss/,China Returns as Third Largest Bitcoin Mining Hub With a 14% Share: Reuters,"Underground activity expands as cheap power, miner demand and softer policy signals support a renewed mining push in key provinces in China. ",https://www.coindesk.com/markets/2025/11/24/china-returns-as-third-largest-bitcoin-mining-hub-with-a-14-share-reuters,"Mon, 24 Nov 2025 10:38:44 +0000",,2025-11-24T12:06:10.651960
https://www.coindesk.com/arc/outboundfeeds/rss/,Animoca Brands Wins Initial Abu Dhabi Approval to Operate Regulated Fund ,Animoca Brands received in-principle approval from Abu Dhabi’s FSRA to operate as a regulated fund manager within ADGM.,https://www.coindesk.com/policy/2025/11/24/animoca-brands-wins-initial-approval-to-operate-regulated-fund-in-abu-dhabi-s-adgm,"Mon, 24 Nov 2025 10:15:17 +0000",,2025-11-24T12:06:10.652035
https://www.coindesk.com/arc/outboundfeeds/rss/,"Grayscale Dogecoin, XRP Trusts Go Live, Cleanspark Earnings: Crypto Week Ahead",Your look at what's coming in the week starting Nov. 24.,https://www.coindesk.com/markets/2025/11/20/grayscale-dogecoin-xrp-trusts-go-live-cleanspark-earnings-crypto-week-ahead,"Mon, 24 Nov 2025 09:12:07 +0000",,2025-11-24T12:06:10.652372
https://www.coindesk.com/arc/outboundfeeds/rss/,Thai Crypto Exchange Bitkub Weighs Hong Kong IPO: Report,Thailand-based Bitkub is considering an IPO in Hong Kong to raise approximately $200 million.,https://www.coindesk.com/markets/2025/11/24/thai-crypto-exchange-bitkub-weighs-hong-kong-ipo-report,"Mon, 24 Nov 2025 08:16:16 +0000",,2025-11-24T12:06:10.652456
https://www.coindesk.com/arc/outboundfeeds/rss/,$80K Bitcoin Put Now Most Popular Bet,The $80K BTC put is now the most popular options play on Deribit. ,https://www.coindesk.com/markets/2025/11/24/usd80k-bitcoin-put-now-most-popular-bet,"Mon, 24 Nov 2025 06:33:37 +0000",,2025-11-24T12:06:10.652528
https://www.coindesk.com/arc/outboundfeeds/rss/,DOGE Beats the Blue Chips as D.O.G.E Calls It Quits ,DOGE – the memecoin – edged past the CoinDesk 20 and the CoinDesk memecoin index as the White House announced Elon Musk's government efficiency initiative is to shutter.,https://www.coindesk.com/markets/2025/11/24/doge-beats-the-blue-chips-as-d-o-g-e-calls-it-quits,"Mon, 24 Nov 2025 05:31:49 +0000",,2025-11-24T12:06:10.652597
